,milo_f1-score,meld_f1-score,cna_f1-score,daseq_f1-score,rra_f1-score,milo_precision,meld_precision,cna_precision,daseq_precision,rra_precision,milo_recall,meld_recall,cna_recall,daseq_recall,rra_recall
pos0.9_neg0.1_cond1_2_remove_9.h5ad,0.8294335564065558,0.7140545948581289,0.6399651749745348,0.8457024430810116,0.8445908285938284,0.8696441232128352,0.6713576257351807,0.6219426386945867,0.8240152079126126,0.8123559115061775,0.802328807471766,0.8384508983401879,0.8266585842714673,0.8911429420436573,0.8934529095502898
pos0.9_neg0.1_cond1_3_remove_0.h5ad,0.9459399408286631,0.7666449024336549,0.6642931518543748,0.9768986159104597,0.9566077269463609,0.9641820737264499,0.792418464427298,0.6634094197691636,0.9814321362883334,0.9343949146244445,0.9300068825436636,0.8596887689250309,0.8725833736229046,0.9725747178718022,0.9818428203256029
pos0.9_neg0.1_cond1_3_remove_3.h5ad,0.9395079691899123,0.8222555275709373,0.65996814506786,0.9716843116609016,0.9524942653889631,0.9621906663354776,0.8157998429206362,0.6445166405158386,0.9751720397260302,0.9308972101174494,0.9202857414728283,0.9071478033990461,0.8698055317087799,0.9682940175507309,0.9765830441975107
pos0.9_neg0.1_cond1_3_remove_6.h5ad,0.9300484672912318,0.8117306333808045,0.6323898606582172,0.9639897410226267,0.9334318071944313,0.9618892683519449,0.8011353969578746,0.6142765290698725,0.9658689923224291,0.9024208952398372,0.9035933080070505,0.9138559660164124,0.858005489947023,0.9622089117947059,0.9697996653133597
pos0.9_neg0.1_cond1_3_remove_9.h5ad,0.9145454488545725,0.7682249886322031,0.5960446613471663,0.9246036407539163,0.9076611826905138,0.9620435334176419,0.7684323563638381,0.5779713812733598,0.8952697697236558,0.8651635537137383,0.8762867181422438,0.9004384997052987,0.8481653721629089,0.9627385999822079,0.9624901363069388
pos0.9_neg0.1_cond4_14_remove_0.h5ad,0.8415822088445353,0.3292954668995471,0.49524998606769416,0.8746005114718156,0.8042296270715742,0.9319897998679886,0.6004343829951915,0.4970661021023217,0.8936307165670939,0.7506078396215171,0.7765328657633188,0.2851010604178475,0.8646906505781738,0.8569568461556359,0.903605779910792
pos0.9_neg0.1_cond4_14_remove_3.h5ad,0.8467992183355563,0.24013286152683652,0.453272324275874,0.8347860175384144,0.8027710641232876,0.9498389393450833,0.43831804226724036,0.4619430050641589,0.9308060286717614,0.7409238031253867,0.774975565947968,0.437436672604991,0.8627628554578127,0.7791116858507371,0.9035051436275321
pos0.9_neg0.1_cond4_14_remove_6.h5ad,0.7952125977685998,0.3155360987165054,0.4175629733543378,0.7454098531911192,0.7540353253966828,0.935524840454506,0.46260229934279024,0.43661638507896466,0.9529281777132926,0.6833721407046259,0.709866647076491,0.4018942739663352,0.852358395915966,0.672619446651837,0.8859635328437258
pos0.9_neg0.1_cond4_14_remove_9.h5ad,0.6427147215622668,0.20844482722812438,0.3624170181845716,0.7065108365805931,0.6830032731173675,0.8641460565944699,0.389743608061043,0.4016850424447358,0.7049420270979674,0.6051344067169478,0.5542555876315087,0.33773192728054097,0.8233463968858068,0.7518315331975627,0.8369041962715128
pos0.9_neg0.1_cond6_9_remove_0.h5ad,0.9777723141485959,0.999004424741119,0.5715343519751693,0.996218098998769,0.9933613219394354,0.9925359499934651,0.9985311710539747,0.5191389949500177,0.9938970156530301,0.9877271927648735,0.9639642185021234,0.9994785997065975,0.9144447795161813,0.9985578557233614,0.9991125677480546
pos0.9_neg0.1_cond6_9_remove_3.h5ad,0.9831934949352682,0.9979138425625046,0.5382748158038613,0.9971196888080519,0.9878972734767677,0.9970888454334483,0.9964862502617672,0.49500013199731074,0.9973507949190245,0.9777053495419489,0.9699271329092807,0.9993490076326377,0.9057811071723184,0.9968917380067133,0.9984795005762535
pos0.9_neg0.1_cond6_9_remove_6.h5ad,0.9656601233683443,0.9980424596435377,0.5072547602089837,0.996428728818973,0.9846472180564083,0.9947905824309657,0.996723993093035,0.47642978044389034,0.9963360686379795,0.9722460464693713,0.9391960921040553,0.999377248208367,0.8960930364195386,0.996526955454653,0.9976012560579702
pos0.9_neg0.1_cond6_9_remove_9.h5ad,0.9457371808230352,0.997269630838662,0.46471434316739524,0.9778352818466091,0.979141188051397,0.9889968104317415,0.9952159462269757,0.45537183321829383,0.9625910338526197,0.9624965710276384,0.9089979705715524,0.9993578692776258,0.8802566694232595,0.9941780938317176,0.9968260186652129
